PODATE,POTYPE,WP,CUSTNAME,PONO,ITEMNO,MATNO,MATNAME,POQTY,DELIVERYDATE,DEVERYQTY,Delivery Status
2021.02.17,OR10,DB10,欤检嫕?岇偓 歆勳劚?旍??堨柎毵?1740550,80,1000886,ILBAN B 72 INCH ??5,2021.02.17,5,?╉拡?勲,,
2021.02.17,OR10,DB10,?膘毎?侅偓,1740568,40,1000886,ILBAN B 72 INCH ??10,2021.02.17,10,?╉拡?勲,
2021.02.17,OR10,DB20,?滌劚?侁车(欤?,1740650,30,1000886,ILBAN B 72 INCH ??2,2021.02.17,2,?╉拡?勲,
2021.02.17,OR10,DB20,歆勴潵?侅偓,1740660,20,1000886,ILBAN B 72 INCH ??20,2021.02.17,20,?╉拡?勲,
2021.02.18,OR10,DB40,?欖澕氩姼??1740764,10,1000886,ILBAN B 72 INCH ??12,2021.02.18,12,?╉拡?勲,,
2021.02.18,OR10,DB40,???欖澕,1740789,60,1000886,ILBAN B 72 INCH ??5,2021.02.18,5,?╉拡?勲,
2021.02.18,OR10,DB40,?欖澕氩姼??1740856,170,1000886,ILBAN B 72 INCH ??40,2021.02.18,40,?╉拡?勲,,
2021.02.18,OR10,DB20,?滉父?办梾,1740862,180,1000886,ILBAN B 72 INCH ??20,2021.02.18,20,?╉拡?勲,
2021.02.18,OR10,DB20,?欖澕?办梾,1740961,190,1000886,ILBAN B 72 INCH ??20,2021.02.18,20,?╉拡?勲,
2021.02.18,OR10,DB40,?欖澕?奠儊,1740995,100,1000886,ILBAN B 72 INCH ??20,2021.02.18,20,?╉拡?勲,
2021.02.18,OR10,DB10,?欖澕?缄磻?办梾,1741107,50,1000886,ILBAN B 72 INCH ??20,2021.02.18,20,?╉拡?勲,
2021.02.19,OR10,DB10,?膘毎?侅偓,1741311,810,1000886,ILBAN B 72 INCH ??20,2021.02.19,20,?╉拡?勲,
2021.02.19,OR10,DB20,?滌劚?侁车(欤?,1741537,70,1000886,ILBAN B 72 INCH ??2,2021.02.19,2,?╉拡?勲,
2021.02.19,OR10,DB10,?欖澕氩姼?侅偓,1741540,500,1000886,ILBAN B 72 INCH ??500,2021.02.19,500,?╉拡?勲,
2021.02.19,OR10,DB20,?滌劚?侁车(欤?,1741544,50,1000886,ILBAN B 72 INCH ??2,2021.02.19,2,?╉拡?勲,
2021.02.20,OR10,DB20,欤检嫕?岇偓 ?胳檿?侅偓,1741605,10,1000886,ILBAN B 72 INCH ??40,2021.02.20,40,?╉拡?勲,
2021.02.22,OR10,DB40,???欖澕,1741673,40,1000886,ILBAN B 72 INCH ??8,2021.02.22,8,?╉拡?勲,
2021.02.22,OR10,DB10,?欖澕?缄磻?办梾,1741776,40,1000886,ILBAN B 72 INCH ??20,2021.02.22,20,?╉拡?勲,
2021.02.22,OR10,DB40,?欖澕?奠儊,1741854,50,1000886,ILBAN B 72 INCH ??10,2021.02.22,10,?╉拡?勲,
2021.02.22,OR10,DB20,(欤??柬潵?曤??旐暀,1741883,10,1000886,ILBAN B 72 INCH ??5,2021.02.22,5,?╉拡?勲,
2021.02.22,OR10,DB40,?欖澕?奠儊,1741972,70,1000886,ILBAN B 72 INCH ??10,2021.02.22,10,?╉拡?勲,
2021.02.22,OR10,DB10,?欖澕?缄磻?办梾,1742189,70,1000886,ILBAN B 72 INCH ??20,2021.02.22,20,?╉拡?勲,
2021.02.22,OR10,DB20,歆勴潵?侅偓,1742199,30,1000886,ILBAN B 72 INCH ??20,2021.02.22,20,?╉拡?勲,
2021.02.23,OR10,DB40,???欖澕,1742342,20,1000886,ILBAN B 72 INCH ??20,2021.02.23,20,?╉拡?勲,
2021.02.23,OR10,DB20,欤检嫕?岇偓 ?欖澕?鸽崝?ろ姼毽?1742400,30,1000886,ILBAN B 72 INCH ??30,2021.02.23,30,?╉拡?勲,,
2021.02.23,OR10,DB20,(欤?臁办澕?侁车,1742517,80,1000886,ILBAN B 72 INCH ??5,2021.02.23,5,?╉拡?勲,
2021.02.23,OR10,DB40,?欖澕氩姼??1742560,180,1000886,ILBAN B 72 INCH ??40,2021.02.23,40,?╉拡?勲,,
2021.02.24,OR10,DB20,?滍暅?燫&B,1742770,50,1000886,ILBAN B 72 INCH ??5,2021.02.24,5,?╉拡?勲,
2021.02.24,OR10,DB40,?欖澕氩姼??1742890,60,1000886,ILBAN B 72 INCH ??5,2021.02.24,5,?╉拡?勲,,
2021.02.24,OR10,DB40,?欖澕?奠儊,1742937,60,1000886,ILBAN B 72 INCH ??20,2021.02.24,20,?╉拡?勲,
2021.02.24,OR10,DB20,欤检嫕?岇偓 ?欖澕?鸽崝?ろ姼毽?1743111,10,1000886,ILBAN B 72 INCH ??10,2021.02.24,10,?╉拡?勲,,
2021.02.25,EX10,OS10,FIRST INTERNATIONAL BUSINESS L.L.C.,1743305,1420,1005960,ILBAN B 72 INCH OHS EX,787,2021.04.10,787,?╉拡?勲
2021.02.25,OR10,DB40,?欖澕氩姼??1743332,50,1000886,ILBAN B 72 INCH ??100,2021.02.25,100,?╉拡?勲,,
2021.02.25,OR10,DB20,?滌嫚?レ晫?ろ厡??1743338,70,1000886,ILBAN B 72 INCH ??10,2021.02.25,10,?╉拡?勲,,
2021.02.25,OR10,DB20,?滍暅?燫&B,1743363,20,1000886,ILBAN B 72 INCH ??15,2021.02.25,15,?╉拡?勲,
2021.02.25,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1743504,40,1000886,ILBAN B 72 INCH ??10,2021.02.25,10,?╉拡?勲,
2021.02.26,OR10,DB20,(欤? ?犿潵?措Μ?岉伂,1743841,40,1000886,ILBAN B 72 INCH ??3,2021.02.26,3,?╉拡?勲,
2021.02.27,OR10,DB10,?欖澕氩姼?侅偓,1744028,100,1000886,ILBAN B 72 INCH ??20,2021.02.27,20,?╉拡?勲,
2021.03.01,OR10,CS40,?欖澕?办梾(?滌矞),1744087,40,1000886,ILBAN B 72 INCH ??10,2021.03.01,10,?╉拡?勲,
2021.03.02,OR10,DB20,?欖澕?轨垬瓿犽氩姼,1744195,140,1000886,ILBAN B 72 INCH ??20,2021.03.02,20,?╉拡?勲,
2021.03.02,OR10,DB40,?欖澕?奠儊,1744214,830,1000886,ILBAN B 72 INCH ??20,2021.03.02,20,?╉拡?勲,
2021.03.02,OR10,DB10,?欖澕?缄磻?办梾,1744293,70,1000886,ILBAN B 72 INCH ??20,2021.03.02,20,?╉拡?勲,
2021.03.02,OR10,DB40,?欖澕?奠儊,1744367,70,1000886,ILBAN B 72 INCH ??10,2021.03.02,10,?╉拡?勲,
2021.03.02,OR30,DB20,?滌榿?办梾??1744396,40,1000886,ILBAN B 72 INCH ??20,2021.03.02,20,?╉拡?勲,,
2021.03.02,OR10,DB20,?滉父?办梾,1744425,160,1000886,ILBAN B 72 INCH ??20,2021.03.02,20,?╉拡?勲,
2021.03.02,OR10,DB10,?欖澕氩姼(?勳＜),1744458,100,1000886,ILBAN B 72 INCH ??10,2021.03.02,10,?╉拡?勲,
2021.03.02,OR10,DB10,?欖澕氩姼(甏戩＜),1744530,140,1000886,ILBAN B 72 INCH ??100,2021.03.02,100,?╉拡?勲,
2021.03.02,OR10,DB40,?欖澕氩姼??1744555,160,1000886,ILBAN B 72 INCH ??40,2021.03.02,40,?╉拡?勲,,
2021.03.02,OR10,DB40,???欖澕,1744592,90,1000886,ILBAN B 72 INCH ??16,2021.03.02,16,?╉拡?勲,
2021.03.02,OR30,DB20,?滌嫚?レ晫?ろ厡??1744716,20,1000886,ILBAN B 72 INCH ??20,2021.03.02,20,?╉拡?勲,,
2021.03.02,OR10,DB20,?滌劚?侁车(欤?,1744724,40,1000886,ILBAN B 72 INCH ??4,2021.03.02,4,?╉拡?勲,
2021.03.02,OR10,DB10,?欖澕?缄磻?办梾,1744771,200,1000886,ILBAN B 72 INCH ??20,2021.03.02,20,?╉拡?勲,
2021.03.03,OR10,DB20,?滍暅?燫&B,1744930,50,1000886,ILBAN B 72 INCH ??5,2021.03.03,5,?╉拡?勲,
2021.03.03,OR10,DB40,???欖澕,1744952,50,1000886,ILBAN B 72 INCH ??10,2021.03.03,10,?╉拡?勲,
2021.03.03,OR10,DB20,?滌嫚?レ晫?ろ厡??1745047,50,1000886,ILBAN B 72 INCH ??3,2021.03.03,3,?╉拡?勲,,
2021.03.03,OR10,DB10,?膘毎?侅偓,1745083,50,1000886,ILBAN B 72 INCH ??10,2021.03.03,10,?╉拡?勲,
2021.03.03,OR10,DB20,?滌嫚?レ晫?ろ厡??1745104,20,1000886,ILBAN B 72 INCH ??6,2021.03.03,6,?╉拡?勲,,
2021.03.03,OR10,DB20,(欤?臁办澕?侁车,1745260,110,1000886,ILBAN B 72 INCH ??5,2021.03.03,5,?╉拡?勲,
2021.03.03,OR10,DB10,?膘毎?侅偓,1745265,60,1000886,ILBAN B 72 INCH ??10,2021.03.03,10,?╉拡?勲,
2021.03.04,OR10,DB40,???欖澕,1745434,10,1000886,ILBAN B 72 INCH ??4,2021.03.04,4,?╉拡?勲,
2021.03.04,OR10,DB20,氩旍毎?奠儊,1745550,60,1000886,ILBAN B 72 INCH ??3,2021.03.04,3,?╉拡?勲,
2021.03.04,OR10,DB20,(欤??柬潵?曤??旐暀,1745691,40,1000886,ILBAN B 72 INCH ??5,2021.03.04,5,?╉拡?勲,
2021.03.04,OR10,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1745715,40,1000886,ILBAN B 72 INCH ??2,2021.03.04,2,?╉拡?勲,
2021.03.04,OR10,DB20,(欤? ?犿潵?措Μ?岉伂,1745717,70,1000886,ILBAN B 72 INCH ??20,2021.03.04,20,?╉拡?勲,
2021.03.04,OR10,DB20,(欤? ?犿潵?措Μ?岉伂,1745734,50,1000886,ILBAN B 72 INCH ??9,2021.03.04,9,?╉拡?勲,
2021.03.04,OR10,DB20,?欖澕?办梾,1745757,40,1000886,ILBAN B 72 INCH ??20,2021.03.04,20,?╉拡?勲,
2021.03.04,OR10,DB10,?欖澕?侁车??1745775,170,1000886,ILBAN B 72 INCH ??20,2021.03.04,20,?╉拡?勲,,
2021.03.04,OR10,DB40,???欖澕,1745868,130,1000886,ILBAN B 72 INCH ??3,2021.03.04,3,?╉拡?勲,
2021.03.05,OR10,DB10,?欖澕膦呿暕氍检偘,1745923,50,1000886,ILBAN B 72 INCH ??20,2021.03.05,20,?╉拡?勲,
2021.03.05,OR10,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1746162,50,1000886,ILBAN B 72 INCH ??20,2021.03.05,20,?╉拡?勲,
2021.03.05,OR10,DB20,(欤??柬潵?曤??旐暀,1746177,40,1000886,ILBAN B 72 INCH ??10,2021.03.05,10,?╉拡?勲,
2021.03.05,OR30,DB10,欤检嫕?岇偓 ?欖澕氩姼,1746244,40,1000886,ILBAN B 72 INCH ??10,2021.03.05,10,?╉拡?勲,
2021.03.05,OR30,DB20,?レ??1746269,50,1000886,ILBAN B 72 INCH ??6,2021.03.05,6,?╉拡?勲,,
2021.03.05,OR10,DB40,???欖澕,1746292,50,1000886,ILBAN B 72 INCH ??2,2021.03.05,2,?╉拡?勲,
2021.03.06,EX10,OS40,"DRB AMERICA, INC.",1746359,5260,1005960,ILBAN B 72 INCH OHS EX,63,2021.04.25,63,?╉拡?勲
2021.03.08,OR10,DB10,?膘毎?侅偓,1746628,120,1000886,ILBAN B 72 INCH ??3,2021.03.08,3,?╉拡?勲,
2021.03.08,OR10,DB20,?滌嫚?レ晫?ろ厡??1746767,30,1000886,ILBAN B 72 INCH ??5,2021.03.08,5,?╉拡?勲,,
2021.03.08,OR10,DB40,???欖澕,1746806,30,1000886,ILBAN B 72 INCH ??40,2021.03.08,40,?╉拡?勲,
2021.03.08,OR10,DB40,?欖澕氩姼??1746818,110,1000886,ILBAN B 72 INCH ??40,2021.03.08,40,?╉拡?勲,,
2021.03.09,OR30,DB20,?滌澕?办梾??1746970,90,1000886,ILBAN B 72 INCH ??20,2021.03.09,20,?╉拡?勲,,
2021.03.09,OR30,DB20,?滌嫚?レ晫?ろ厡??1746983,20,1000886,ILBAN B 72 INCH ??20,2021.03.09,20,?╉拡?勲,,
2021.03.09,OR10,DB40,?欖澕?奠儊,1747071,50,1000886,ILBAN B 72 INCH ??20,2021.03.09,20,?╉拡?勲,
2021.03.09,OR10,DB10,欤检嫕?岇偓 ?欖枒?岇暏牍?1747090,20,1000886,ILBAN B 72 INCH ??10,2021.03.09,10,?╉拡?勲,,
2021.03.09,OR10,DB20,?滉父?办梾,1747166,150,1000886,ILBAN B 72 INCH ??20,2021.03.09,20,?╉拡?勲,
2021.03.09,OR10,DB20,?犾毎旮办梾,1747171,10,1000886,ILBAN B 72 INCH ??2,2021.03.09,2,?╉拡?勲,
2021.03.09,OR10,DB40,???欖澕,1747198,230,1000886,ILBAN B 72 INCH ??20,2021.03.09,20,?╉拡?勲,
2021.03.09,OR10,DB20,(欤?臁办澕?侁车,1747440,10,1000886,ILBAN B 72 INCH ??3,2021.03.09,3,?╉拡?勲,
2021.03.10,OR10,DB10,?欖澕?缄磻?办梾,1747532,100,1000886,ILBAN B 72 INCH ??20,2021.03.10,20,?╉拡?勲,
2021.03.10,OR10,DB10,?膘毎?侅偓,1747603,240,1000886,ILBAN B 72 INCH ??20,2021.03.10,20,?╉拡?勲,
2021.03.10,OR10,DB20,欤检嫕?岇偓 ?欖澕?鸽崝?ろ姼毽?1747755,10,1000886,ILBAN B 72 INCH ??10,2021.03.10,10,?╉拡?勲,,
